ID_Seller;Flujo_Caja
10305536; 5.640.265 
10129279; 5.640.221 
10148697; 5.622.084 
10117930; 5.618.893 
10269371; 5.610.871 
10272894; 5.607.440 
10020107; 5.582.831 
10200692; 5.571.998 
109878; 5.534.330 
10248100; 5.499.940 
10142169; 5.441.356 
10127981; 5.435.091 
6720; 5.425.104 
10258093; 5.424.978 
10268372; 5.421.810 
10004768; 5.405.571 
10085747; 5.404.801 
10085722; 5.386.322 
10197109; 5.354.442 
10404423; 5.348.379 
10304396; 5.341.173 
10110488; 5.329.763 
10206468; 5.327.182 
93264; 5.321.595 
56805; 5.312.309 
10367180; 5.305.915 
10008992; 5.300.734 
10386282; 5.276.951 
10120567; 5.263.372 
10197683; 5.235.075 
10231373; 5.215.079 
47590; 5.191.590 
10358194; 5.183.475 
4376; 5.160.284 
10313781; 5.152.800 
10152056; 5.137.159 
10189886; 5.135.725 
10201572; 5.130.849 
10405943; 5.124.137 
10137346; 5.094.411 
10340417; 5.082.012 
10270114; 5.055.988 
10311067; 5.032.692 
10205879; 5.020.996 
10059658; 4.989.075 
10182392; 4.988.235 
10127167; 4.981.767 
112337; 4.979.345 
10018015; 4.978.250 
10349308; 4.964.949 
10130665; 4.963.442 
10372793; 4.934.998 
10372463; 4.933.136 
10229310; 4.920.792 
10210115; 4.870.763 
10075576; 4.868.446 
10328047; 4.837.694 
10284761; 4.822.585 
10020245; 4.821.530 
10250419; 4.817.167 
10238206; 4.814.597 
113787; 4.803.760 
10179584; 4.801.815 
10162980; 4.789.171 
10388003; 4.783.411 
10163124; 4.737.323 
71228; 4.706.776 
10272066; 4.706.554 
10190640; 4.698.741 
10162294; 4.681.690 
10169556; 4.678.330 
10380569; 4.675.435 
10091079; 4.675.271 
10259867; 4.668.953 
10065489; 4.660.767 
50452; 4.658.371 
10304002; 4.629.083 
10123758; 4.617.971 
10379288; 4.614.910 
10123856; 4.606.480 
10241895; 4.600.076 
1845; 4.595.138 
10312164; 4.593.411 
10040034; 4.593.304 
10033414; 4.590.413 
10384961; 4.586.980 
10135726; 4.575.247 
10348861; 4.570.306 
10134970; 4.565.718 
10231026; 4.565.506 
10198343; 4.554.063 
10379152; 4.549.007 
10295727; 4.543.728 
10412688; 4.538.340 
10310977; 4.476.459 
10210857; 4.471.865 
10349260; 4.461.997 
10162341; 4.452.989 
10323604; 4.452.509 
10275391; 4.430.285 
119114; 4.414.270 
3490; 4.414.036 
10284106; 4.386.587 
47952; 4.377.866 
10221499; 4.376.491 
10185212; 4.374.952 
10224441; 4.367.672 
10093508; 4.365.798 
10198020; 4.350.714 
10126645; 4.349.415 
10249857; 4.349.165 
10192445; 4.348.818 
10027450; 4.345.110 
10205832; 4.324.976 
10392982; 4.324.157 
10280624; 4.323.028 
10312835; 4.292.500 
10312751; 4.291.908 
10085838; 4.285.317 
10213308; 4.278.318 
10139185; 4.274.449 
10211388; 4.269.404 
34500; 4.268.589 
10338390; 4.265.157 
10156437; 4.264.608 
10226445; 4.253.516 
63192; 4.244.705 
10282025; 4.243.375 
10190376; 4.230.866 
10404365; 4.226.948 
10033739; 4.222.989 
10066885; 4.222.310 
10285911; 4.220.338 
14216; 4.215.232 
10420899; 4.208.542 
10274349; 4.207.368 
10007176; 4.198.294 
10027322; 4.197.542 
10299557; 4.174.972 
10205542; 4.152.580 
75076; 4.137.384 
10058815; 4.133.628 
10330798; 4.127.641 
10201773; 4.116.986 
10282631; 4.108.389 
10413662; 4.101.825 
10082052; 4.095.454 
10009074; 4.093.624 
8189; 4.080.436 
10370510; 4.063.463 
10358458; 4.059.135 
10236359; 4.051.954 
10043900; 4.039.746 
10292426; 4.036.411 
10118252; 4.012.522 
10210313; 4.001.666 
10397849; 4.001.392 
10290145; 3.995.686 
10233987; 3.991.682 
10281207; 3.987.075 
10016143; 3.971.513 
10044755; 3.963.475 
10258667; 3.963.095 
10012920; 3.961.822 
10087028; 3.954.317 
10224047; 3.953.688 
80595; 3.922.974 
10207013; 3.916.579 
10352769; 3.916.540 
10280410; 3.910.981 
10121884; 3.903.088 
10413291; 3.902.568 
10133953; 3.900.086 
10287136; 3.898.468 
10289986; 3.896.156 
10067541; 3.892.458 
10345134; 3.879.726 
